activity type;name;reference product;database;code;location;unit;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;market for used Li-ion battery;used Li-ion battery;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;36d70c414913a62700d40b5ff8369568;GLO;kilogram;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for fuel cell, solid oxide, 125kW electrical, future;fuel cell, solid oxide, 125kW electrical, future;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d053f1b0998eae92cd5e77983cb6d097;GLO;unit;2790;Manufacture of other electrical equipment;46410;Primary cells and primary batteries;MachElecTrans;Metal/electronic equipments and parts
;market for photovoltaic panel factory;photovoltaic panel factory;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1dc09c2edccf25d2f613306a7eec4186;GLO;unit;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
;market for paper mill, non-integrated;paper mill, non-integrated;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3e760f35e7ff0866a0ca969415e1a3bb;GLO;unit;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
;market for polyurethane, rigid foam;polyurethane, rigid foam;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;df3ad4f3bd1f0fd6ce01353bbda60eb1;RoW;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;34740;"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]";PlastRub;Plastics & rubber products
;market for glycerin distillate bottom;glycerin distillate bottom;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;bebf81390b5ff4fdf7aa54728da91a50;GLO;kilogram;161;Support activities for crop production;34659;Fertilizers n.e.c.;Chemical;Chemical products
;market for furnace, wood chips, average storage area, 300kW;furnace, wood chips, average storage area, 300kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fbf8dac170edad89e87383e7b3f0d091;GLO;unit;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
;market for nickel-rich materials;nickel-rich materials;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;744cab769813439bc2207edee7cc3427;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;41412;"Unrefined copper; copper anodes for electrolytic refining";MetalAlloy;Basic metals & alloys, their semi-finished products
;market for electric motor, vehicle;electric motor, vehicle;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c27641648029d80a71c39e81f15ff491;GLO;kilogram;2710;Manufacture of electric motors, generators, transformers and electricity di;461;Electric motors, generators and transformers, and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for magnetite;magnetite;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;af157c8354816b1c9a1394515062c88e;GLO;kilogram;2022;Manufacture of paints, varnishes and similar coatings, printing ink and mas;35130;Printing ink;Chemical;Chemical products
;market for sodium oxide;sodium oxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;90c153a158b56d17df0659319f67cdae;RoW;kilogram;2011;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
;market for sodium nitrite;sodium nitrite;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ec2299c0855c59c9b86f582956d9cd9d;RoW;kilogram;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
;market for wind power plant, 800kW, fixed parts;wind power plant, 800kW, fixed parts;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e4feda3ee7d71eeccd2950c6abebae97;GLO;unit;4220;Construction of utility projects;53262;Power plants;;
;market for helium;helium;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;612a9183c7bac2685fb87a699974c8aa;GLO;kilogram;2011;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
;market for precious metal refinery;precious metal refinery;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2df06c6b2ab41e199edd53a970dcabc9;GLO;unit;4100;Construction of buildings;53269;Other constructions for manufacturing;;
;market for nylon 6;nylon 6;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;15d8b2386c577db7fdc3b1152b55f2fc;RoW;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;347;Plastics in primary forms;PlastRub;Plastics & rubber products
;market for cement tile;cement tile;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;44e9f6ebca2558a9e48f95ccea4b8944;GLO;kilogram;2395;Manufacture of articles of concrete, cement and plaster;37540;Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone;GlasNonMetal;Glass and other non-metallic products
;market for uranium, enriched 3.0%, per separative work unit;uranium, enriched 3.0%, per separative work unit;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;144a8b0d13ced3b2c6974045fa91eaa5;GLO;unit;2011;Manufacture of basic chemicals;33620;"Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]";OreMinFuel;Ores, minerals & fuels
;market for clinker;clinker;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d1990e5101bf995514022e256a256d8f;RoW;kilogram;2394;Manufacture of cement, lime and plaster;37430;Cement clinkers;GlasNonMetal;Glass and other non-metallic products
;market for printed wiring board, mounted mainboard, desktop computer, Pb free;printed wiring board, mounted mainboard, desktop computer, Pb free;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3d2a7b0214c46d4d1d9f0797306ac627;GLO;kilogram;2610;Manufacture of electronic components and boards;47160;Electronic integrated circuits;MachElecTrans;Metal/electronic equipments and parts
;market for sewage sludge, 97% water, WWT, WW from LCD production;sewage sludge, 97% water, WWT, WW from LCD production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c2a037d3a5d964daf70dddfcc8e09eb2;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;market for tube insulation factory;tube insulation factory;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;bec6a7fc8af82bd1cdc009f6a7709eea;GLO;unit;4100;Construction of buildings;53269;Other constructions for manufacturing;;
;market for furnace, wood chips, hardwood storage area, 300kW;furnace, wood chips, hardwood storage area, 300kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f92aa9782c1c6f2cf9e7e55a27d85c4d;GLO;unit;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
;market for bus;bus;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0485796b0420660700ace938abf15d9a;GLO;unit;2910;Manufacture of motor vehicles;49112;Public-transport type passenger motor vehicles;MachElecTrans;Transport vehicles
;market for SOx retained, in lignite flue gas desulfurisation;SOx retained, in lignite flue gas desulfurisation;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;22b001cc716f2493337e6e93d2a10e1c;GLO;kilogram;3510;Electric power generation, transmission and distribution;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
;market for nylon 6-6;nylon 6-6;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a29e9b49ad04ac016ff07431b2f842ae;RoW;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;347;Plastics in primary forms;PlastRub;Plastics & rubber products
;market for chipper, stationary, electric;chipper, stationary, electric;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;816a0bf15e74b147cf6a7b7a363afdcb;GLO;unit;2821;Manufacture of agricultural and forestry machinery;441;Agricultural or forestry machinery and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for 4-methyl-2-pentanone;4-methyl-2-pentanone;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;dfccfc6ac5add71bdc79f2b637b4fbf0;GLO;kilogram;2011;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
;market for tris(2,4-ditert-butylphenyl) phosphite;tris(2,4-ditert-butylphenyl) phosphite;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;92b184ae6a650b649c79cfdafe5c6400;GLO;kilogram;2011;Manufacture of basic chemicals;34180;Phosphoric esters and their salts or esters of other inorganic acids (excluding esters of hydrogen halides) an[…];Chemical;Chemical products
;market for carbon disulfide;carbon disulfide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8c3f424f308fea51a15db8431bbd4d3a;GLO;kilogram;2011;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
;market for shavings, softwood, loose, measured as dry mass;shavings, softwood, loose, measured as dry mass;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;93205578aa6e05b70d18dbee95e81ecd;GLO;kilogram;1610;Sawmilling and planing of wood;39283;Non-agglomerated wood waste and scrap;AgriForeAnim;Agricultural and forestry products
;market for glyoxal;glyoxal;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f560285224256182fdc8756dd5a45f8b;RoW;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for lightweight concrete block, polystyrene;lightweight concrete block, polystyrene;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6cd89faa138a9fa1bd0b0f3e71fb602e;RoW;kilogram;2399;Manufacture of other non-metallic mineral products n.e.c.;379;Other non-metallic mineral products n.e.c.;GlasNonMetal;Glass and other non-metallic products
;market for used purse seiner, wood;used purse seiner, wood;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8e4420dcd32e0c46689d4cea43c04389;GLO;kilogram;311;Marine fishing;94312;Ship-breaking and other dismantling of wrecks services;;
;market for packaging film, low density polyethylene;packaging film, low density polyethylene;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e549ade6161a973471d35ca89bbabd75;GLO;kilogram;2220;Manufacture of plastics products;36330;Plates, sheets, film, foil and strip, of plastics, not self-adhesive, non-cellular and not reinforced, laminat[…];PlastRub;Plastics & rubber products
;market for process-specific burdens, municipal waste incineration;process-specific burdens, municipal waste incineration;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;64fccca477c9adff159607ae76f8fab1;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for residue from mechanical treatment, liquid crystal display;residue from mechanical treatment, liquid crystal display;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e8256b48815c0b11553237754d2dcd0a;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for blower and heat exchange unit, Storkair G 90;blower and heat exchange unit, Storkair G 90;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ae558e9bc5b7ad433ee3c854c51649d2;GLO;unit;2819;Manufacture of other general-purpose machinery;43911;"Producer gas or water gas generators; acetylene gas generators and similar water process gas generators; disti[…]";MachElecTrans;Metal/electronic equipments and parts
;market for polyethylene, linear low density, granulate;polyethylene, linear low density, granulate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;820517c31b756e66d54912bb9cb228c7;GLO;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;34710;Polymers of ethylene, in primary forms;PlastRub;Plastics & rubber products
;market for 4-tert-butylbenzaldehyde;4-tert-butylbenzaldehyde;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8353ed159ecf49a42add0c5217c9cb59;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for anode, graphite, for Li-ion battery;anode, graphite, for Li-ion battery;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f598011ad327f7382fcad4b120caeb36;RoW;kilogram;2720;Manufacture of batteries and accumulators;46950;Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbo[…];MachElecTrans;Metal/electronic equipments and parts
;market for vegetable oil esterification facility;vegetable oil esterification facility;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;466207a82b0d0cad5a2600393b4757e2;GLO;unit;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
;market for kenaf plant, harvested;kenaf plant, harvested;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;156f8289dc6895ea587e631ef91e91b3;GLO;kilogram;116;Growing of fibre crops;1922;Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie;;
;polyethylene, high density, granulate, recycled to generic market for high density PE granulate;polyethylene, high density, granulate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ba799eea635cd16bbf552bb082c03370;RoW;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;34710;Polymers of ethylene, in primary forms;PlastRub;Plastics & rubber products
;market for fish freezing plant;fish freezing plant;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5a1b2a9422428c9550753dfc359450c4;GLO;unit;4290;Construction of other civil engineering projects;8812;Fish processing services;;
;market for hair dryer;hair dryer;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a64b62e4ccdf8f5550a4bfb2e4288556;GLO;unit;2750;Manufacture of domestic appliances;88744;Consumer electronics manufacturing services;;
;market for straw, organic;straw, organic;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e1d2a7d5751f8635806666d8964a3b60;RoW;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1913;Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets;;
;market for waste glass sheet;waste glass sheet;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;cbe7ab0c424f1bfcc1553b8c798c95b6;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;37111;"Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass";GlasNonMetal;Glass and other non-metallic products
;market for packing, clay product;packing, clay product;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9fbe8a86c8a8ee6ee16604af6bef9ea6;GLO;kilogram;8292;Packaging activities;85400;Packaging services;;
;market for wood preservative, creosote;wood preservative, creosote;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c9820348d16044596fdc0481d548c3d2;RoW;kilogram;2021;Manufacture of pesticides and other agrochemical products;345;Miscellaneous basic chemical products;Chemical;Chemical products
;market for waste glass pane in burnable frame;waste glass pane in burnable frame;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6d1b6d49c5bb211426db8f1ea93679b9;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;37111;"Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass";GlasNonMetal;Glass and other non-metallic products
;market for lead;lead;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fbb0f24cb8a09b37b43d853dea138347;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;41441;Lead, unwrought;MetalAlloy;Basic metals & alloys, their semi-finished products
;market for enzymes;enzymes;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b79ba3061db6e478eb5a7cfb714c7fe9;GLO;kilogram;2011;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
;market for coconut oil, crude;coconut oil, crude;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b3551cc5425c448550d943ccc0fc71a1;GLO;kilogram;1040;Manufacture of vegetable and animal oils and fats;21661;Coconut oil, crude;ProcBio;Food & beverages, animal feed
